PMID,Title,Dataset,n_sentences
22244863,Association between periodontal disease and stroke.,Review,16
35612796,Herpesviruses in Periodontitis: An Umbrella Review.,Review,17
34662850,Effects of Curcuma as an adjunct therapy on periodontal disease: A systematic review and meta-analysis.,Review,14
37345207,Effects of Omega-3 as an adjuvant in the treatment of periodontal disease: A systematic review and meta-analysis.,Review,14
39629934,DNA and RNA Methylation in Periodontal and Peri-implant Diseases.,Review,12
39125843,Study of microRNAs in Gingival Crevicular Fluid as Periodontal Diseases Biomarkers: Systematic Review.,Review,10
38762240,Advances in periodontal biomarkers.,Review,9
34850390,Is TIMP-1 a biomarker for periodontal disease? A systematic review and meta-analysis.,Review,15
41225105,Inflammasomes in Oral Pathologies: From Periodontal Disease to Oral Cancer.,Review,8
32558110,Periodontal risk markers in children and adolescents with type 1 diabetes: A systematic review and meta-analysis.,Review,11
36631982,Prevalence of periodontitis in dentate people between 2011 and 2020: A systematic review and meta-analysis of epidemiological studies.,Review,15
21716988,Pediatric obesity and periodontal disease: a systematic review of the literature.,Review,10
30812054,Maternal periodontitis and preterm birth: Systematic review and meta-analysis.,Review,11
23631584,Inflammatory mechanisms linking periodontal diseases to cardiovascular diseases.,Review,7
40356262,Efficacy of nonsurgical periodontal treatment on patients with periodontitis and type 2 diabetes mellitus: a systematic review and Bayesian network meta-analysis.,Review,11
36535806,Probiotic Bifidobacteria in Managing Periodontal Disease: A Systematic Review.,Review,9
29974484,Periodontal disease and susceptibility to breast cancer: A meta-analysis of observational studies.,Review,12
26545044,Periodontitis Awareness Amongst the General Public: A Critical Systematic Review to Identify Gaps of Knowledge.,Review,14
20103557,Effect of periodontal treatment on glycemic control of diabetic patients: a systematic review and meta-analysis.,Review,12
40000005,Effect of bisphosphonates on periodontal diseases in menopausal and postmenopausal women: A systematic review and meta-analysis.,Review,14
28284417,Chlorhexidine mouthwash as an adjunct to mechanical therapy in chronic periodontitis: A meta-analysis.,Review,10
27825315,Periodontitis and gestational diabetes mellitus: a systematic review and meta-analysis of observational studies.,Review,18
33729563,Different applications forms of green tea (Camellia sinensis (L.) Kuntze) for the treatment of periodontitis: a systematic review and meta-analysis.,Review,18
41071528,Exploring the Therapeutic Potential of Diverse Bacterial Strains for Management of Periodontal Diseases.,Review,7
30503976,"Apolipoprotein E, periodontal disease and the risk for atherosclerosis: a review.",Review,7
40818019,Does Probiotic Therapy Improve Periodontal Treatment Outcomes in Smoking Patients? A Systematic Review of Randomized Clinical Trials.,Review,10
26110453,Long-Term Effect of Four Surgical Periodontal Therapies and One Non-Surgical Therapy: A Systematic Review and Meta-Analysis.,Review,13
35797566,A Systematic Review and Meta-Analysis of the Association Between Periodontal Disease and Severe Mental Illness.,Review,15
31713745,Effect of non-surgical periodontal therapy on renal function in chronic kidney disease patients with periodontitis: a systematic review and meta-analysis of interventional studies.,Review,14
33595770,The Neglected Role of Trichomonas tenax in Oral Diseases: A Systematic Review and Meta-analysis.,Review,15
22091748,Diabetes and periodontal diseases: interplay and links.,Review,9
29934798,Clinical periodontal variables in patients with and without dementia-a systematic review and meta-analysis.,Review,17
40359716,Assessment of the role of Th17 cell and related biomarkers in periodontitis: A systematic review.,Review,11
40838652,Current Perspectives on Mesenchymal Stem Cells as a Potential Treatment for Periodontal Diseases and Conditions.,Review,10
33103263,Periodontal disease and emotional disorders: A meta-analysis.,Review,16
33527193,Local delivery natural products to treat periodontitis: a systematic review and meta-analysis.,Review,20
29926951,Periodontitis: Consensus report of workgroup 2 of the 2017 World Workshop on the Classification of Periodontal and Peri-Implant Diseases and Conditions.,Review,5
36209308,Periodontitis and Preeclampsia in Pregnancy: A Systematic Review and Meta-Analysis.,Review,16
38869834,Correlation between rheumatoid arthritis and chronic periodontitis: a systematic review and meta-analysis.,Review,18
25299388,Impact of cigarette smoking on clinical outcomes of periodontal flap surgical procedures: a systematic review and meta-analysis.,Review,20
28637585,Effects of periodontal endoscopy on the treatment of periodontitis: A systematic review and meta-analysis.,Review,15
36130097,The Periodontal Status of Orofacial Cleft Patients: A Systematic Review and Meta-Analysis.,Review,14
37237445,Association between sickle cell disease and periodontal disease: A systematic review.,Review,10
30975946,Do genetic polymorphisms affect susceptibility to periodontal disease? A literature review.,Review,6
40342059,Pre-Emptive Analgesia for Periodontal and Implant-Related Surgery: A Systematic Review and Meta-Analysis.,Review,8
38674317,Microbiota Transplantation as an Adjunct to Standard Periodontal Treatment in Periodontal Disease: A Systematic Review.,Review,13
38943006,"Impact of periodontal disease on cognitive disorders, dementia, and depression: a systematic review and meta-analysis.",Review,12
30011036,Impact of Smoking Cessation on Periodontitis: A Systematic Review and Meta-analysis of Prospective Longitudinal Observational and Interventional Studies.,Review,18
36359741,Biological Roles of Fibroblasts in Periodontal Diseases.,Review,7
41966251,Adverse childhood experiences and periodontal diseases and tooth loss in adults: A systematic review and meta-analysis.,Review,12
29587489,"EB 2017 Article: Changes in advanced glycation end products, beta-defensin-3, and interleukin-17 during diabetic periodontitis development in rhesus monkeys.",Clinical,16
37986698,Association between sequelae of COVID-19 with periodontal disease and obesity: A cross-sectional study.,Clinical,16
35055807,The Gaseous Ozone Therapy as a Promising Antiseptic Adjuvant of Periodontal Treatment: A Randomized Controlled Clinical Trial.,Clinical,13
29633261,Brain natriuretic peptide serum levels in periodontitis.,Clinical,15
24857320,Association between metabolic syndrome and periodontal disease measures in postmenopausal women: the Buffalo OsteoPerio study.,Clinical,12
20662907,The effect of initial treatment of periodontitis on systemic markers of inflammation and cardiovascular risk: a randomized controlled trial.,Clinical,9
31411781,Periodontal disease in Chinese patients with rheumatoid arthritis: A case-control study.,Clinical,13
35451654,"Is periodontal inflamed surface area associated with serum and salivary levels of IL-1beta, visfatin, and omentin-1 in overweight/obese patients?",Clinical,11
41280935,Effect of type 1 diabetes on the inflammatory response in periodontal disease.,Clinical,14
33072198,Prevalence and Intensity of Periodontal Disease in Individuals with Metabolic Syndrome.,Clinical,12
31694983,Clinical Evaluation of Obesity In Patients with Type 2 Diabetes Mellitus after Periodontal Treatment: A Comparative Study.,Clinical,8
27160833,Family history of periodontal disease and prevalence of smoking status among adult periodontitis patients: a cross-sectional study.,Clinical,11
34810387,Efficacy of antioxidants therapy on progression of periodontal disease - A randomized control trial.,Clinical,14
35729603,Periodontal conditions in a 65-year-old population and prevalence of periodontitis according to three different bone level thresholds.,Clinical,11
26942441,Essential and Toxic Metals in Oral Fluid-a Potential Role in the Diagnosis of Periodontal Diseases.,Clinical,8
23725523,A short-term evaluation of the relationship between plasma ascorbic acid levels and periodontal disease in systemically healthy and type 2 diabetes mellitus subjects.,Clinical,14
38308835,"Oral parasitic protozoan Entamoeba gingivalis in periodontal disease patients, northeastern Thailand.",Clinical,11
27277362,Factors Associated with Periodontal Disease in Pregnant Diabetic Women.,Clinical,8
23216882,Adjunctive effect of chlorhexidine antiseptics in mechanical periodontal treatment: first results of a preliminary case series.,Clinical,14
36538094,Efficacy of the additional use of subgingival air-polishing with erythritol powder in the treatment of periodontitis patients: a randomized controlled clinical trial. Part II: effect on sub-gingival microbiome.,Clinical,15
23811642,Evaluation of periodontal status in alcoholic liver cirrhosis patients: a comparative study.,Clinical,18
25454747,The impact of some behavioral aspects on periodontal disease in a group of Romanian students - an epidemiological survey.,Clinical,17
40016818,Subgingivally Delivered Spirulina Gel and Chlorhexidine Gel in Periodontitis Patients - A Comparative Study.,Clinical,14
36656194,Correlation of COVID-19 with severity of periodontitis-A clinical and biochemical study.,Clinical,13
40915974,The Interplay Between Lifestyle and Oral/Faecal Microbial Profiles Among Periodontal Disease Patients: A Cross-Sectional Study.,Clinical,13
31116056,Age and female gender associated with periodontal disease in Japanese patients with rheumatoid arthritis: Results from self-reported questionnaires from the IORRA cohort study.,Clinical,7
20450373,Assessment of the effects of dentifrice on periodontal disease biomarkers in gingival crevicular fluid.,Clinical,17
33231907,Periodontal disease and preterm birth: Findings from the 2015 Pelotas birth cohort study.,Clinical,14
36243992,Periodontal health in a population with Parkinson's disease in Spain: a cross-sectional study.,Clinical,10
32193820,Effect of diode laser application as an adjunct to nonsurgical periodontal therapy on the reduction of red complex microorganisms in type 2 diabetics with chronic periodontitis.,Clinical,8
37970930,Factors associated with periodontal diseases in pregnancy: Findings of the 2015 Pelotas Birth Cohort Study.,Clinical,11
41150907,"Effects of Mobile-Based AI-Enhanced Health Counseling on Protection Motivation, Self-Care Behaviors, and Periodontal Treatment Outcomes in Patients With Periodontitis: Randomized Controlled Trial.",Clinical,15
34911520,Periodontitis as a risk for oral cancer: a case-control study.,Clinical,19
26670655,Are sickle cell anaemia and sickle cell trait predictive factors for periodontal disease? A cohort study.,Clinical,16
41511127,PEPTIDYLARGININE DEIMINASE 4 AND FUSOBACTERIUM NUCLEATUM: A HIDDEN ALLIANCE IN PERIODONTAL DISEASE PROGRESSION.,Clinical,15
37722082,"Duration and frequency of betel quid chewing affects periodontitis severity and life quality of people in Tanini Village, Kupang, Indonesia.",Clinical,15
33176415,Efficacy ozone therapy in reducing oral infection of periodontal disease: a randomized clinical trial.,Clinical,11
20367098,Human papillomavirus-16 prevalence in gingival tissue and its association with periodontal destruction: a case-control study.,Clinical,9
24386401,Periodontitis is associated with endothelial dysfunction in a general population: a cross-sectional study.,Clinical,16
38899599,Treatment of periodontitis ameliorates the severity and extent of psoriasis-A randomized clinical trial.,Clinical,15
24160246,IQuaD dental trial; improving the quality of dentistry: a multicentre randomised controlled trial comparing oral hygiene advice and periodontal instrumentation for the prevention and management of periodontal disease in dentate adults attending dental primary care.,Clinical,18
34415433,Effect of periodontal disease on oxidative stress markers in patients with atherosclerosis.,Clinical,20
41053683,Salivary chromogranin A levels in periodontal health status: a cross-sectional study evaluating clinical and psychological associations.,Clinical,15
34221032,Effects of an oral hygiene regimen on progression of gingivitis/early periodontitis: A randomized controlled trial.,Clinical,14
42021448,Periodontal Disease in Smokers.,Clinical,9
34555048,"Effect of advanced periodontal self-care in patients with early-stage periodontal diseases on endothelial function: An open-label, randomized controlled trial.",Clinical,13
29949223,"Salivary fetuin-A, S100A12, and high-sensitivity C-reactive protein levels in periodontal diseases.",Clinical,9
39616515,Effects of Local and Systemic Metronidazole as Adjunctive Treatment in Chronic Periodontitis Patients.,Clinical,17
23121152,The impact of oral health literacy on periodontal health status.,Clinical,15
