Dataset,Embedding_model,Metric,mean,sd,sem,n
Clinical,MPNet,conclusion_plus_future_to_background_plus_aim_alignment,0.6444314462797982,0.1411566229413628,0.0201652318487661,49
Clinical,MPNet,conclusion_to_aim_alignment,0.6588065678423102,0.1664007403188679,0.0250858554761385,44
Clinical,MPNet,conclusion_to_background_plus_aim_alignment,0.6431166456670178,0.1421497526366677,0.0203071075195239,49
Clinical,MPNet,conclusion_to_results_alignment,0.5738233139320296,0.1427208265776294,0.0203886895110899,49
Clinical,MPNet,final_similarity_to_opening_anchor,0.4927836715709418,0.1625088681179649,0.0229822245298326,50
Clinical,MPNet,local_discontinuity_burden,0.1798416419321991,0.0777135465197627,0.010990355146836,50
Clinical,MPNet,local_similarity_volatility,0.2222129796735107,0.058490761396645,0.0082718428040664,50
Clinical,MPNet,mean_label_confidence,0.9815471656310666,0.006828710416279,0.000965725488422,50
Clinical,MPNet,mean_local_similarity,0.3798649677288292,0.116067702112867,0.0164144518481496,50
Clinical,MPNet,mean_similarity_to_opening_anchor,0.5140859549079351,0.0972846367924304,0.0137581252762395,50
Clinical,MPNet,mean_similarity_to_own_role_anchor_loo,0.4431462366117775,0.1244828896106691,0.0176045390770801,50
Clinical,MPNet,methods_to_aim_alignment,0.6108616014321645,0.1211372054084905,0.0180580683931826,45
Clinical,MPNet,min_local_similarity,0.0656563008390366,0.1323844765684112,0.018721992221071,50
Clinical,MPNet,n_sentences,11.88,2.6698620311368377,0.3775755094098695,50
Clinical,MPNet,results_to_aim_alignment,0.5083418481879765,0.1799638387096455,0.026827425123105,45
Clinical,MPNet,results_to_methods_alignment,0.6205533453822136,0.1366487183480992,0.0193250470768783,50
Clinical,MPNet,within_Methods_similarity,0.3352545481453542,0.135853047491706,0.0198162036173407,47
Clinical,MPNet,within_Results_similarity,0.4407427108022297,0.184146598416353,0.0271509346897773,46
Clinical,MPNet,within_role_discontinuity_burden,0.0943026295170257,0.0673869006463249,0.0095299468820321,50
Clinical,MiniLM,conclusion_plus_future_to_background_plus_aim_alignment,0.6003099613043726,0.1541698737301179,0.0220242676757311,49
Clinical,MiniLM,conclusion_to_aim_alignment,0.6173654205419801,0.1763060822581153,0.026579141959441,44
