Dataset,Metric,n_pairs,MiniLM_mean,MPNet_mean,Mean_difference_MPNet_minus_MiniLM,Mean_absolute_difference,Spearman_rho,Spearman_p
Clinical,n_sentences,50,11.88,11.88,0.0,0.0,1.0,0.0
Clinical,mean_label_confidence,50,0.9815471656310664,0.9815471656310664,0.0,0.0,1.0,0.0
Clinical,mean_local_similarity,50,0.3295732254067809,0.3798649677288292,0.0502917423220482,0.052067951832911,0.9260504201680672,5.990628343509044e-22
Clinical,min_local_similarity,50,0.0332618886139243,0.0656563008390366,0.0323944122251122,0.0440279791411012,0.7044897959183672,1.1343964637564928e-08
Clinical,local_similarity_volatility,50,0.2131118250903867,0.2222129796735107,0.009101154583124,0.0174234951399266,0.9507322929171668,4.637896836290498e-26
Clinical,local_discontinuity_burden,50,0.1723787539429954,0.1798416419321991,0.0074628879892037,0.0366497566760724,0.6642444379188811,1.44575903392455e-07
Clinical,within_role_discontinuity_burden,50,0.089601774816171,0.0943026295170257,0.0047008547008547,0.0322637917637917,0.6278158610519499,1.0603607158363192e-06
Clinical,mean_similarity_to_opening_anchor,50,0.4662610880736675,0.5140859549079351,0.0478248668342675,0.0504861331313695,0.9349819927971188,3.0204164290037484e-23
Clinical,final_similarity_to_opening_anchor,50,0.446718133194372,0.4927836715709418,0.0460655383765697,0.0494626453146338,0.9522689075630252,2.2059421290529042e-26
Clinical,mean_similarity_to_own_role_anchor_loo,50,0.3899718207828803,0.4431462366117776,0.0531744158288973,0.054873436815653,0.9571668667466988,1.7340572844082993e-27
Clinical,within_Methods_similarity,47,0.2617135885434853,0.3352545481453542,0.0735409596018689,0.0736778913391329,0.9285383903792784,5.469284203361481e-21
Clinical,within_Results_similarity,46,0.4087523182936004,0.4407427108022297,0.0319903925086292,0.0562053695562108,0.9211840888066604,1.1905671865501024e-19
Clinical,conclusion_to_aim_alignment,44,0.6173654205419801,0.6588065678423102,0.04144114730033,0.0539396439086307,0.9567300916138124,3.873357107111245e-24
Clinical,conclusion_to_results_alignment,49,0.5128438934987906,0.5738233139320296,0.060979420433239,0.0622308211667197,0.9176530612244898,1.828381101468233e-20
Clinical,results_to_methods_alignment,50,0.5562804444134235,0.6205533453822136,0.06427290096879,0.0705274452269077,0.9190396158463384,4.860662824604031e-21
Clinical,methods_to_aim_alignment,45,0.559597083595064,0.6108616014321645,0.0512645178371005,0.0658794482549031,0.873254281949934,5.157972666424251e-15
Clinical,results_to_aim_alignment,45,0.4504451867606904,0.5083418481879765,0.0578966614272859,0.0679429633749856,0.9401844532279312,9.961785785033702e-22
