Dataset,PMID,Title,Metric,Embedding_model,Value
Review,32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,n_sentences,MiniLM,12.0
Review,39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,n_sentences,MiniLM,17.0
Review,40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,n_sentences,MiniLM,14.0
Review,39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,n_sentences,MiniLM,13.0
Review,27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,n_sentences,MiniLM,8.0
Review,26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,n_sentences,MiniLM,16.0
Review,34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,n_sentences,MiniLM,19.0
Review,31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,n_sentences,MiniLM,12.0
Review,33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,n_sentences,MiniLM,12.0
Review,41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,n_sentences,MiniLM,17.0
Review,26897256,Growth factors and beta-tricalcium phosphate in the treatment of periodontal intraosseous defects: A systematic review and meta-analysis of randomised controlled trials.,n_sentences,MiniLM,13.0
Review,39808292,"Weighing up the potential of ""superfoods"" compounds of green tea or turmeric as adjuncts in comparison to established therapeutical approaches for periodontal disease.",n_sentences,MiniLM,12.0
Review,26928597,The concomitant administration of systemic amoxicillin and metronidazole compared to scaling and root planing alone in treating periodontitis: =a systematic review=.,n_sentences,MiniLM,15.0
Review,34608627,Periodontitis and Systemic Lupus Erythematosus: A systematic review and meta-analysis.,n_sentences,MiniLM,12.0
Review,36377800,Periodontitis and risk of immune-mediated systemic conditions: A systematic review and meta-analysis.,n_sentences,MiniLM,14.0
Review,24880982,Does periodontal treatment influence clinical and biochemical measures for rheumatoid arthritis? A systematic review and meta-analysis.,n_sentences,MiniLM,12.0
Review,23151293,Effect of periodontal therapy on prevention of gastric Helicobacter pylori recurrence: a systematic review and meta-analysis.,n_sentences,MiniLM,11.0
Review,37023342,Prevalence of periodontal disease among Vietnamese adults: A systematic review and meta-analysis.,n_sentences,MiniLM,10.0
Review,27825315,Periodontitis and gestational diabetes mellitus: a systematic review and meta-analysis of observational studies.,n_sentences,MiniLM,18.0
Review,32051966,Association Between Periodontitis and Nosocomial Pneumonia: A Systematic Review and Meta-analysis of Observational Studies.,n_sentences,MiniLM,13.0
Review,31969148,Effects of non-surgical periodontal therapy on systemic inflammation and metabolic markers in patients undergoing haemodialysis and/or peritoneal dialysis: a systematic review and meta-analysis.,n_sentences,MiniLM,14.0
Review,36261851,The effect of antiretroviral therapyon the periodontal conditions of patients with HIV infection: A systematic review and meta-analysis.,n_sentences,MiniLM,16.0
Review,20024665,Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,n_sentences,MiniLM,12.0
Review,40335202,PERIODONTITIS AS A RISK FACTOR FOR DEMENTIA: A SYSTEMATIC REVIEW AND META-ANALYSIS.,n_sentences,MiniLM,13.0
Review,38629069,"Higher odds of periodontitis in systemic lupus erythematosus compared to controls and rheumatoid arthritis: a systematic review, meta-analysis and network meta-analysis.",n_sentences,MiniLM,12.0
Review,27796062,Oral health status of children and young adults with autism spectrum disorders: systematic review and meta-analysis.,n_sentences,MiniLM,13.0
Review,35797566,A Systematic Review and Meta-Analysis of the Association Between Periodontal Disease and Severe Mental Illness.,n_sentences,MiniLM,15.0
Review,33864280,Periodontal health status of children and adolescents with diabetes mellitus: a systematic review and meta-analysis.,n_sentences,MiniLM,8.0
Review,25261053,Global burden of severe periodontitis in 1990-2010: a systematic review and meta-regression.,n_sentences,MiniLM,11.0
Review,37173720,Periostin level in gingival crevicular fluid in periodontal disease: a systematic review and meta-analysis.,n_sentences,MiniLM,17.0
Review,35119242,Is there an association between periodontal diseases and ABO blood group? Systematic review and meta-analysis.,n_sentences,MiniLM,18.0
Review,40576216,The Impacts of Probiotics Supplementation on the Treatment of Periodontitis: An Umbrella Meta-Analysis.,n_sentences,MiniLM,13.0
