embedding_model_label,perturbation_condition,Metric,n,mean_delta,sd_delta,sem_delta,median_delta,mean_absolute_delta,proportion_delta_negative,proportion_delta_positive
MiniLM,full_sentence_shuffle,n_sentences,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,full_sentence_shuffle,mean_label_confidence,100,1.4432899320127036e-17,9.422536983529558e-17,9.422536983529556e-18,0.0,4.996003610813205e-17,0.12,0.2
MiniLM,full_sentence_shuffle,mean_local_similarity,100,-0.0093472658649167,0.0736572645656043,0.0073657264565604,-0.0092474697290786,0.0582151306628768,0.56,0.44
MiniLM,full_sentence_shuffle,min_local_similarity,100,-0.0054779493436217,0.0609529906350042,0.0060952990635004,0.0,0.0425930932257324,0.44,0.43
MiniLM,full_sentence_shuffle,local_similarity_volatility,100,0.0034694678810562,0.0474783390873054,0.0047478339087305,0.0025576396012595,0.035714436652832,0.48,0.52
MiniLM,full_sentence_shuffle,local_discontinuity_burden,100,-0.0060384178514983,0.1021914861845617,0.0102191486184561,0.0,0.0758686492815749,0.36,0.29
MiniLM,full_sentence_shuffle,within_role_discontinuity_burden,100,-0.0568345646871188,0.0696628199856131,0.0069662819985613,-0.0714285714285714,0.0681283623926812,0.6,0.07
MiniLM,full_sentence_shuffle,mean_similarity_to_opening_anchor,100,-2.4966669731618646e-10,6.832164440908034e-09,6.832164440908033e-10,0.0,2.31670084227531e-09,0.15,0.13
MiniLM,full_sentence_shuffle,final_similarity_to_opening_anchor,100,-0.1094466653699055,0.2676636768811266,0.0267663676881126,-0.1185802817344665,0.233338921344839,0.68,0.32
MiniLM,full_sentence_shuffle,mean_similarity_to_own_role_anchor_loo,100,-3.978987972441672e-12,3.9874692227334125e-09,3.9874692227334117e-10,0.0,2.383690811125216e-09,0.34,0.28
MiniLM,full_sentence_shuffle,within_Methods_similarity,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,full_sentence_shuffle,within_Results_similarity,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,full_sentence_shuffle,conclusion_to_aim_alignment,91,-2.947482433947888e-09,1.5425046046012966e-08,1.6169841875772775e-09,0.0,2.947482433947888e-09,0.0439560439560439,0.0
MiniLM,full_sentence_shuffle,conclusion_to_results_alignment,99,-3.913436273131708e-09,2.3950504642458478e-08,2.407116286021208e-09,0.0,9.332040343621763e-09,0.1212121212121212,0.0505050505050505
MiniLM,full_sentence_shuffle,results_to_methods_alignment,100,-2.682209014892578e-09,3.3912482672665366e-08,3.3912482672665364e-09,0.0,1.6391277313232423e-08,0.16,0.12
MiniLM,full_sentence_shuffle,methods_to_aim_alignment,92,3.1583982965220567e-09,2.697072847501449e-08,2.811892822330054e-09,0.0,1.1742762897325598e-08,0.0978260869565217,0.1304347826086956
MiniLM,full_sentence_shuffle,results_to_aim_alignment,92,-3.563321155050526e-09,2.6079447529740005e-08,2.718970360297981e-09,0.0,1.133784003879713e-08,0.1521739130434782,0.0652173913043478
MiniLM,full_sentence_shuffle,conclusion_to_background_plus_aim_alignment,99,-1.0536174581508443e-09,2.1100557663867442e-08,2.120685837524436e-09,0.0,7.074288647584241e-09,0.101010101010101,0.0404040404040404
MiniLM,full_sentence_shuffle,conclusion_plus_future_to_background_plus_aim_alignment,99,3.0103355947166985e-10,2.3122026618135788e-08,2.323851111665654e-09,0.0,8.127906105735085e-09,0.0808080808080808,0.0606060606060606
MiniLM,label_swap_methods_results,n_sentences,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,mean_label_confidence,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,mean_local_similarity,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,min_local_similarity,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,local_similarity_volatility,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,local_discontinuity_burden,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,within_role_discontinuity_burden,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,mean_similarity_to_opening_anchor,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,final_similarity_to_opening_anchor,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniLM,label_swap_methods_results,mean_similarity_to_own_role_anchor_loo,100,0.0044513914401004,0.0738250203392042,0.0073825020339204,0.0072433505702268,0.0553820587758076,0.38,0.58
