abstract_key,PMID,Title,Dataset,sentence_id,rhetorical_role,positional_tertile,positional_quintile,length_matched_template_role
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,1,Aim,T1,B1,Background
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,2,Methods,T1,B1,Aim
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,3,Methods,T1,B2,Methods
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,4,Methods,T2,B2,Methods
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,5,Results,T2,B3,Methods
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,6,Results,T2,B3,Methods
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,7,Results,T2,B4,Results
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,8,Results,T3,B4,Results
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,9,Results,T3,B5,Results
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,10,Conclusion,T3,B5,Conclusion
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,11,Conclusion,T3,B5,Conclusion
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,1,Background,T1,B1,Background
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,2,Methods,T1,B1,Background
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,3,Methods,T1,B1,Aim
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,4,Methods,T1,B2,Methods
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,5,Methods,T1,B2,Methods
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,6,Methods,T2,B2,Methods
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,7,Results,T2,B3,Methods
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,8,Results,T2,B3,Methods
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,9,Results,T2,B3,Results
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,10,Results,T2,B4,Results
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,11,Results,T3,B4,Results
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,12,Results,T3,B4,Results
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,13,Conclusion,T3,B5,Results
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,14,Conclusion,T3,B5,Conclusion
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,15,Conclusion,T3,B5,Conclusion
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,16,Conclusion,T3,B5,Conclusion
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,1,Background,T1,B1,Background
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,2,Methods,T1,B2,Aim
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,3,Methods,T2,B3,Methods
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,4,Results,T2,B3,Methods
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,5,Results,T3,B4,Results
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,6,Results,T3,B5,Results
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,7,Conclusion,T3,B5,Conclusion
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,1,Aim,T1,B1,Background
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,2,Aim,T1,B1,Background
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,3,Methods,T1,B2,Aim
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,4,Methods,T1,B2,Methods
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,5,Methods,T2,B2,Methods
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,6,Methods,T2,B3,Methods
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,7,Methods,T2,B3,Methods
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,8,Methods,T2,B4,Results
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,9,Methods,T3,B4,Results
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,10,Methods,T3,B4,Results
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,11,Results,T3,B5,Results
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,12,Results,T3,B5,Conclusion
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,13,Results,T3,B5,Conclusion
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,1,Aim,T1,B1,Background
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,2,Methods,T1,B2,Aim
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,3,Methods,T1,B2,Methods
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,4,Methods,T2,B3,Methods
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,5,Methods,T2,B3,Methods
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,6,Results,T2,B4,Results
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,7,Results,T3,B4,Results
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,8,Results,T3,B5,Results
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,9,Conclusion,T3,B5,Conclusion
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,1,Aim,T1,B1,Background
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,2,Methods,T1,B1,Aim
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,3,Methods,T1,B1,Methods
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,4,Methods,T1,B2,Methods
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,5,Methods,T1,B2,Methods
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,6,Results,T2,B2,Methods
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,7,Results,T2,B3,Methods
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,8,Results,T2,B3,Results
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,9,Results,T2,B3,Results
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,10,Results,T2,B4,Results
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,11,Results,T3,B4,Results
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,12,Results,T3,B4,Results
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,13,Results,T3,B5,Conclusion
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,14,Conclusion,T3,B5,Conclusion
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,15,Conclusion,T3,B5,Conclusion
Clinical::23969907::Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,Clinical,1,Background,T1,B1,Background
