filename,relative_path,full_path,size_bytes
adjusted_dataset_effects_within_results_similarity.csv,tables/adjusted_dataset_effects_within_results_similarity.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/adjusted_dataset_effects_within_results_similarity.csv,4758
count_metric_correlations.csv,tables/count_metric_correlations.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/count_metric_correlations.csv,4816
exact_results_sentence_count_strata_analysis.csv,tables/exact_results_sentence_count_strata_analysis.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/exact_results_sentence_count_strata_analysis.csv,1126
matched_analysis_summary_by_results_sentence_count.csv,tables/matched_analysis_summary_by_results_sentence_count.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/matched_analysis_summary_by_results_sentence_count.csv,714
matched_pairs_by_results_sentence_count.csv,tables/matched_pairs_by_results_sentence_count.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/matched_pairs_by_results_sentence_count.csv,5282
regression_model_fit_summary.csv,tables/regression_model_fit_summary.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/regression_model_fit_summary.csv,2079
residualized_within_results_similarity_group_comparison.csv,tables/residualized_within_results_similarity_group_comparison.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/residualized_within_results_similarity_group_comparison.csv,738
sentence_count_confound_input_dataset.csv,tables/sentence_count_confound_input_dataset.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/sentence_count_confound_input_dataset.csv,221700
sentence_count_confound_interpretation_table.csv,tables/sentence_count_confound_interpretation_table.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/sentence_count_confound_interpretation_table.csv,782
within_results_similarity_regression_count_control.csv,tables/within_results_similarity_regression_count_control.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/within_results_similarity_regression_count_control.csv,13592
within_results_similarity_residualized_for_n_results.csv,tables/within_results_similarity_residualized_for_n_results.csv,/content/drive/MyDrive/semantic_coherence_pubmed/sentence_count_confound_analysis_csv/tables/within_results_similarity_residualized_for_n_results.csv,37469
