PMID,Title,Dataset,n_Results,within_Results_similarity,within_Results_similarity_residualized_for_n_Results,embedding_model_label
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,2,-0.0124206524342298,-0.4095139552215909,MPNet
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,5,0.5114904135465622,0.112801862620514,MPNet
40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,Review,5,0.3612140268087387,-0.0374745241173094,MPNet
39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,Review,4,0.2818767835075657,-0.1162800180389201,MPNet
27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,Review,3,0.2497248947620391,-0.1479001574048844,MPNet
26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,Review,6,0.216466652477781,-0.1827536478278295,MPNet
34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,Review,5,0.3720388010144234,-0.0266497499116247,MPNet
31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,Review,4,0.2575921782602866,-0.1405646232861992,MPNet
33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,Review,3,0.2018133302529653,-0.1958117219139582,MPNet
41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,Review,6,0.3082185596227645,-0.091001740682846,MPNet
26897256,Growth factors and beta-tricalcium phosphate in the treatment of periodontal intraosseous defects: A systematic review and meta-analysis of randomised controlled trials.,Review,2,0.5514258146286011,0.1543325118412399,MPNet
39808292,"Weighing up the potential of ""superfoods"" compounds of green tea or turmeric as adjuncts in comparison to established therapeutical approaches for periodontal disease.",Review,4,0.3485009626795848,-0.049655838866901,MPNet
26928597,The concomitant administration of systemic amoxicillin and metronidazole compared to scaling and root planing alone in treating periodontitis: =a systematic review=.,Review,4,0.4408271908760071,0.0426703893295212,MPNet
34608627,Periodontitis and Systemic Lupus Erythematosus: A systematic review and meta-analysis.,Review,5,0.3603105340152979,-0.0383780169107502,MPNet
36377800,Periodontitis and risk of immune-mediated systemic conditions: A systematic review and meta-analysis.,Review,5,0.2984662480652332,-0.1002223028608149,MPNet
24880982,Does periodontal treatment influence clinical and biochemical measures for rheumatoid arthritis? A systematic review and meta-analysis.,Review,4,0.1403913348913192,-0.2577654666551666,MPNet
23151293,Effect of periodontal therapy on prevention of gastric Helicobacter pylori recurrence: a systematic review and meta-analysis.,Review,2,0.2413540780544281,-0.155739224732933,MPNet
37023342,Prevalence of periodontal disease among Vietnamese adults: A systematic review and meta-analysis.,Review,4,0.3570779512325923,-0.0410788503138935,MPNet
27825315,Periodontitis and gestational diabetes mellitus: a systematic review and meta-analysis of observational studies.,Review,6,0.4283794204394022,0.0291591201337916,MPNet
32051966,Association Between Periodontitis and Nosocomial Pneumonia: A Systematic Review and Meta-analysis of Observational Studies.,Review,2,0.3957456052303314,-0.0013476975570297,MPNet
31969148,Effects of non-surgical periodontal therapy on systemic inflammation and metabolic markers in patients undergoing haemodialysis and/or peritoneal dialysis: a systematic review and meta-analysis.,Review,4,0.3958455373843511,-0.0023112641621347,MPNet
36261851,The effect of antiretroviral therapyon the periodontal conditions of patients with HIV infection: A systematic review and meta-analysis.,Review,9,0.403004290536046,0.0021887420917484,MPNet
20024665,Photodynamic therapy as an adjunctive treatment for chronic periodontitis: a meta-analysis.,Review,3,0.1938949624697367,-0.2037300896971868,MPNet
40335202,PERIODONTITIS AS A RISK FACTOR FOR DEMENTIA: A SYSTEMATIC REVIEW AND META-ANALYSIS.,Review,5,0.4014468239620328,0.0027582730359846,MPNet
38629069,"Higher odds of periodontitis in systemic lupus erythematosus compared to controls and rheumatoid arthritis: a systematic review, meta-analysis and network meta-analysis.",Review,4,0.8026738464832306,0.4045170449367448,MPNet
27796062,Oral health status of children and young adults with autism spectrum disorders: systematic review and meta-analysis.,Review,4,0.2547965471943219,-0.1433602543521639,MPNet
35797566,A Systematic Review and Meta-Analysis of the Association Between Periodontal Disease and Severe Mental Illness.,Review,6,0.3273693660895029,-0.0718509342161076,MPNet
33864280,Periodontal health status of children and adolescents with diabetes mellitus: a systematic review and meta-analysis.,Review,3,0.4911085764567057,0.0934835242897821,MPNet
25261053,Global burden of severe periodontitis in 1990-2010: a systematic review and meta-regression.,Review,5,0.5811392694711686,0.1824507185451204,MPNet
37173720,Periostin level in gingival crevicular fluid in periodontal disease: a systematic review and meta-analysis.,Review,4,0.2733991403753559,-0.1247576611711299,MPNet
35119242,Is there an association between periodontal diseases and ABO blood group? Systematic review and meta-analysis.,Review,6,0.4817317008972168,0.0825114005916062,MPNet
40576216,The Impacts of Probiotics Supplementation on the Treatment of Periodontitis: An Umbrella Meta-Analysis.,Review,3,0.2518215378125508,-0.1458035143543727,MPNet
26881700,Clinical research activity in periodontal medicine: a systematic mapping of trial registers.,Review,4,0.3524574860930443,-0.0456993154534415,MPNet
40218924,"The Role of Vitamin B Complex in Periodontal Disease: A Systematic Review Examining Supplementation Outcomes, Age Differences in Children and Adults, and Aesthetic Changes.",Review,6,0.5357998748620351,0.1365795745564245,MPNet
33904994,Association between clinical measures of gingival inflammation and obesity in adults: systematic review and meta-analyses.,Review,6,0.3398827051122983,-0.0593375951933122,MPNet
26932392,The effectiveness of low-level laser therapy as an adjunct to non-surgical periodontal treatment: a meta-analysis.,Review,4,0.3564882278442383,-0.0416685737022475,MPNet
27585589,Do periapical and periodontal pathologies affect Schneiderian membrane appearance? Systematic review of studies using cone-beam computed tomography.,Review,3,0.511333147684733,0.1137080955178095,MPNet
36746669,Effects of periodontal treatment on the C-reactive protein levels in hemodialysis patients: A systematic review and meta-analysis.,Review,5,0.4097852081060409,0.0110966571799927,MPNet
30154031,Bariatric surgery and periodontal status: A systematic review with meta-analysis.,Review,4,0.4226945439974467,0.0245377424509609,MPNet
34495401,Prevalence of red and orange microbial complexes in endodontic-periodontal lesions: a systematic review and meta-analysis.,Review,5,0.4849618002772331,0.0862732493511849,MPNet
41253726,"Depression is associated with periodontitis, dental caries and edentulism: A systematic review and meta-analysis of observational studies.",Review,7,0.3085888351003329,-0.0911632145848399,MPNet
