abstract_key,PMID,Title,Dataset,total_sentence_count,results_sentence_count,mean_sentence_length_words,median_sentence_length_words,total_word_count,type_token_ratio,numeral_density,statistical_token_density,results_word_count,results_type_token_ratio,results_numeral_density,results_statistical_token_density,tfidf_within_results_similarity,tfidf_conclusion_results_alignment,within_Results_similarity,conclusion_to_results_alignment
Clinical::20490384::Impact of periodontal disease on quality of life.,20490384,Impact of periodontal disease on quality of life.,Clinical,11,5,15.090909090909092,20.0,166,0.5060240963855421,0.0662650602409638,0.0240963855421686,76,0.6052631578947368,0.0789473684210526,0.0526315789473684,0.140852817068379,0.2125460431635313,0.4923224732279777,0.5370841026306152
Clinical::20843236::Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,20843236,Efficacy and safety of adjunctive local moxifloxacin delivery in the treatment of periodontitis.,Clinical,16,6,15.375,13.5,246,0.5609756097560976,0.089430894308943,0.048780487804878,106,0.7358490566037735,0.1320754716981132,0.0566037735849056,0.0468378263199532,0.2312495041582443,0.2475818733374278,0.641558051109314
Clinical::21059869::FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,Clinical,7,3,23.142857142857142,21.0,162,0.6728395061728395,0.1111111111111111,0.0555555555555555,64,0.78125,0.09375,0.046875,0.0417636402243176,0.0913191182236356,0.2731861074765523,0.4284948706626892
Clinical::21698987::Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,21698987,Clinical effectiveness of a desensitizing system on dentin hypersensitivity in periodontitis patients.,Clinical,13,3,19.23076923076923,21.0,250,0.492,0.056,0.02,77,0.6753246753246753,0.0389610389610389,0.0259740259740259,0.1382152297717468,,0.5494977831840515,
Clinical::22694045::Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,22694045,Clinical effects of Nd:YAG laser applications during nonsurgical periodontal treatment in smoking and nonsmoking patients with chronic periodontitis.,Clinical,9,3,31.11111111111111,29.0,280,0.4571428571428571,0.0821428571428571,0.0321428571428571,106,0.5943396226415094,0.0754716981132075,0.0471698113207547,0.1985730043388337,0.032426964152077,0.4404099980990092,0.5278247594833374
Clinical::23866479::The relationship between periodontal disease severity and state-trait anxiety level.,23866479,The relationship between periodontal disease severity and state-trait anxiety level.,Clinical,15,8,14.333333333333334,15.0,215,0.5488372093023256,0.055813953488372,0.0325581395348837,112,0.5535714285714286,0.0714285714285714,0.0535714285714285,0.108610613706682,0.0847612055709502,0.4939772372932306,0.5433868169784546
Clinical::23969907::Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,23969907,Treatment of intrabony defects with anorganic bone matrix/p-15 or guided tissue regeneration in patients with aggressive periodontitis.,Clinical,13,6,20.692307692307693,20.0,269,0.4758364312267658,0.104089219330855,0.0185873605947955,128,0.5625,0.1484375,0.0234375,0.2280204223938672,0.3517480120864961,0.3945179720719655,0.6064560413360596
Clinical::25084111::Arterial stiffness and pulse wave reflection are increased in patients suffering from severe periodontitis.,25084111,Arterial stiffness and pulse wave reflection are increased in patients suffering from severe periodontitis.,Clinical,5,1,30.0,29.0,150,0.58,0.04,0.0266666666666666,29,0.896551724137931,0.1034482758620689,0.1379310344827586,,0.1181298914794018,,0.6691440343856812
Clinical::25646170::Effect of a single session of antimicrobial photodynamic therapy using indocyanine green in the treatment of chronic periodontitis: a randomized controlled pilot trial.,25646170,Effect of a single session of antimicrobial photodynamic therapy using indocyanine green in the treatment of chronic periodontitis: a randomized controlled pilot trial.,Clinical,11,4,20.181818181818183,20.0,222,0.5675675675675675,0.036036036036036,0.0045045045045045,66,0.7121212121212122,0.0151515151515151,0.0,0.0762326427799307,0.0647067509909125,0.2960715653995673,0.4930692017078399
Clinical::25762359::Microbiologic Observations After Four Treatment Strategies Among Patients With Periodontitis Maintaining a High Standard of Oral Hygiene: Secondary Analysis of a Randomized Controlled Clinical Trial.,25762359,Microbiologic Observations After Four Treatment Strategies Among Patients With Periodontitis Maintaining a High Standard of Oral Hygiene: Secondary Analysis of a Randomized Controlled Clinical Trial.,Clinical,12,3,21.416666666666668,25.5,257,0.5525291828793775,0.046692607003891,0.0038910505836575,42,0.9047619047619048,0.0476190476190476,0.0,0.0,0.3120376110716256,0.1698278014858563,0.6908907890319824
Clinical::25972081::Platelet rich fibrin combined with decalcified freeze-dried bone allograft for the treatment of human intrabony periodontal defects: a randomized split mouth clinical trail.,25972081,Platelet rich fibrin combined with decalcified freeze-dried bone allograft for the treatment of human intrabony periodontal defects: a randomized split mouth clinical trail.,Clinical,11,3,20.09090909090909,21.0,221,0.6108597285067874,0.1040723981900452,0.004524886877828,77,0.7532467532467533,0.2727272727272727,0.0,0.0508930703916901,0.0726910982722344,0.226998413602511,0.5513953566551208
Clinical::26291297::Microbiologic Findings in Relation to Risk Assessment for Periodontal Disease: A Cross-Sectional Study.,26291297,Microbiologic Findings in Relation to Risk Assessment for Periodontal Disease: A Cross-Sectional Study.,Clinical,11,3,19.0,20.0,209,0.4545454545454545,0.0239234449760765,0.0143540669856459,85,0.5882352941176471,0.0352941176470588,0.0235294117647058,0.2981171501237006,0.7565563321072944,0.4975394606590271,0.7710532546043396
"Clinical::26733449::The relationship between recurrent aphthous stomatitis, and periodontal disease and Helicobacter Pylori infection.",26733449,"The relationship between recurrent aphthous stomatitis, and periodontal disease and Helicobacter Pylori infection.",Clinical,13,4,18.07692307692308,21.0,235,0.5148936170212766,0.0468085106382978,0.025531914893617,64,0.640625,0.140625,0.09375,0.1532060892404516,0.0482576677512225,0.3741895693043868,0.3835248351097107
Clinical::26811350::Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,26811350,Periodontal disease and risk of all cancers among male never smokers: an updated analysis of the Health Professionals Follow-up Study.,Clinical,15,4,20.266666666666666,21.0,304,0.5131578947368421,0.0921052631578947,0.069078947368421,156,0.532051282051282,0.141025641025641,0.1153846153846153,0.3049694864286034,0.3986882139211656,0.7243883609771729,0.7990427017211914
Clinical::26932733::Influence of a triclosan toothpaste on periodontopathic bacteria and periodontitis progression in cardiovascular patients: a randomized controlled trial.,26932733,Influence of a triclosan toothpaste on periodontopathic bacteria and periodontitis progression in cardiovascular patients: a randomized controlled trial.,Clinical,16,6,23.875,22.5,382,0.4790575916230366,0.0366492146596858,0.0209424083769633,170,0.5117647058823529,0.0588235294117647,0.0352941176470588,0.1054963822964732,0.0719032141671604,0.3240299115578333,0.4532791972160339
Clinical::27013640::Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,Clinical,8,5,36.125,44.5,289,0.532871972318339,0.1141868512110726,0.0346020761245674,139,0.5899280575539568,0.1438848920863309,0.0575539568345323,0.1543893725462155,0.1047352571151239,0.2710180014371872,0.3395507335662842
"Clinical::27108476::Systemic Inflammatory Biomarkers and Their Association With Periodontal and Diabetes-Related Factors in the Diabetes and Periodontal Therapy Trial, A Randomized Controlled Trial.",27108476,"Systemic Inflammatory Biomarkers and Their Association With Periodontal and Diabetes-Related Factors in the Diabetes and Periodontal Therapy Trial, A Randomized Controlled Trial.",Clinical,12,5,24.916666666666668,24.0,299,0.5117056856187291,0.1070234113712374,0.0234113712374581,115,0.6608695652173913,0.1130434782608695,0.0521739130434782,0.080784464277316,0.3323303528154853,0.358253413438797,0.5804318189620972
