metric,review_n,clinical_n,review_mean,clinical_mean,review_sd,clinical_sd,cohen_d_review_minus_clinical,welch_p,mannwhitney_p
total_sentence_count,50,50,13.22,11.88,2.651838022572116,2.6698620311368386,0.5035955807203911,0.0134233200359998,0.0109182760361163
results_sentence_count,50,50,4.24,3.54,1.5722075991082975,1.6685567514031583,0.4318060592221088,0.0332975658629836,0.0231525639402715
mean_sentence_length_words,50,50,18.88346637134795,20.636402321362848,3.924961363080976,4.484832182911512,-0.4159589060946242,0.040200757318391,0.0406106909848047
type_token_ratio,50,50,0.5787675473613518,0.5342270850127536,0.0533794321223217,0.0586628572647686,0.7941826919854729,0.0001373706594053,0.000276331583505
results_type_token_ratio,50,50,0.7301652732043357,0.6812541428354466,0.1122545729183475,0.1154983008036527,0.4294669891250087,0.0342353174966711,0.0552993943873301
numeral_density,50,50,0.0685910699415096,0.0603867789552095,0.0439360810728217,0.0346298255375105,0.2074012437861473,0.3024238621069887,0.4319273496347434
results_numeral_density,50,50,0.1493932497191639,0.0829676225709337,0.0927129712980042,0.0598712192642998,0.8511819755267389,5.398861458195179e-05,0.0002605412380402
statistical_token_density,50,50,0.0408207368952749,0.0184910439881051,0.0330708134168258,0.0140996903052628,0.8783868754492987,4.1431970809265866e-05,0.0004732447820307
results_statistical_token_density,50,50,0.0916703514613892,0.0378153080466234,0.0720323267196038,0.0328676901668004,0.9619317992086552,8.637481736171086e-06,0.0001928486362076
tfidf_within_results_similarity,49,46,0.0910039013319387,0.145848683074928,0.080688784222258,0.1073202157733261,-0.5802658253999784,0.0063212916006495,0.0035491158639917
tfidf_conclusion_results_alignment,50,49,0.1945004916074902,0.1529849860374974,0.119992914222531,0.1414338492460724,0.316810518579646,0.1189882238302332,0.0225169979751657
within_Results_similarity,49,46,0.3055750579843228,0.4087523182936004,0.1284778452417812,0.1634526283616086,-0.7045323406513088,0.0010069460109196,0.001346365047901
conclusion_to_results_alignment,50,49,0.6070645785331726,0.5128438934987906,0.1397507579005932,0.1525677918648064,0.6443158858130313,0.0018497751740217,0.0013327554368945
