Metric,Review mean,Clinical mean,Cohen d review minus clinical,Welch p,Mann–Whitney p
Total sentence count,13.22,11.88,0.5035955807203911,0.0134233200359998,0.0109182760361163
Results sentence count,4.24,3.54,0.4318060592221088,0.0332975658629836,0.0231525639402715
Mean sentence length,18.88346637134795,20.636402321362848,-0.4159589060946242,0.040200757318391,0.0406106909848047
Type–token ratio,0.5787675473613518,0.5342270850127536,0.7941826919854729,0.0001373706594053,0.000276331583505
Results type–token ratio,0.7301652732043357,0.6812541428354466,0.4294669891250087,0.0342353174966711,0.0552993943873301
Numeral density,0.0685910699415096,0.0603867789552095,0.2074012437861473,0.3024238621069887,0.4319273496347434
Results numeral density,0.1493932497191639,0.0829676225709337,0.8511819755267389,5.398861458195179e-05,0.0002605412380402
Statistical-token density,0.0408207368952749,0.0184910439881051,0.8783868754492987,4.1431970809265866e-05,0.0004732447820307
Results statistical-token density,0.0916703514613892,0.0378153080466234,0.9619317992086552,8.637481736171086e-06,0.0001928486362076
TF-IDF within-Results similarity,0.0910039013319387,0.145848683074928,-0.5802658253999784,0.0063212916006495,0.0035491158639917
TF-IDF Conclusion–Results alignment,0.1945004916074902,0.1529849860374974,0.316810518579646,0.1189882238302332,0.0225169979751657
Embedding role-aware within-Results similarity,0.3055750579843228,0.4087523182936004,-0.7045323406513088,0.0010069460109196,0.001346365047901
Embedding role-aware Conclusion–Results alignment,0.6070645785331726,0.5128438934987906,0.6443158858130313,0.0018497751740217,0.0013327554368945
