PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
28321995,"Clinical and microbiological efficacy of 4% Garcinia mangostana L. pericarp gel as local drug delivery in the treatment of chronic periodontitis: A randomized, controlled clinical trial.",2017 Nov,Journal of investigative and clinical dentistry,Mahendra J; Mahendra L; Svedha P; Cherukuri S; Romanos GE,Journal Article; Randomized Controlled Trial,"Administration, Topical; Adult; Aged; Chronic Periodontitis/*drug therapy/*microbiology; Double-Blind Method; Female; *Garcinia mangostana; Gels; Humans; Male; Middle Aged; *Phytotherapy; Plant Extracts/*therapeutic use; Treatment Outcome",Clinical
28474968,Additive Effect of Plasma Rich in Growth Factors With Guided Tissue Regeneration in Treatment of Intrabony Defects in Patients With Chronic Periodontitis: A Split-Mouth Randomized Controlled Clinical Trial.,2017 Sep,Journal of periodontology,Ravi S; Malaiappan S; Varghese S; Jayakumar ND; Prakasam G,Journal Article; Randomized Controlled Trial,"Adult; Alveolar Bone Loss/*therapy; Chronic Periodontitis/*therapy; Female; Guided Tissue Regeneration, Periodontal/*methods; Humans; Intercellular Signaling Peptides and Proteins/therapeutic use; Male; Middle Aged; Plasma; Treatment Outcome",Clinical
36414947,Effects of omega-3 supplementation as an adjunct to non-surgical periodontal therapy on periodontal parameters in periodontitis patients: a randomized clinical trial.,2022 Nov 21,BMC oral health,Maybodi FR; Fakhari M; Tavakoli F,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Humans; *Chronic Periodontitis/drug therapy; Soybean Oil/therapeutic use; Dietary Supplements,Clinical
27013640,Amoxicillin Plus Metronidazole Therapy for Patients with Periodontitis and Type 2 Diabetes: A 2-year Randomized Controlled Trial.,2016 Jul,Journal of dental research,Tamashiro NS; Duarte PM; Miranda TS; Maciel SS; Figueiredo LC; Faveri M; Feres M,Journal Article; Randomized Controlled Trial,"Adult; Amoxicillin/administration & dosage/*therapeutic use; Anti-Bacterial Agents/administration & dosage/*therapeutic use; Anti-Infective Agents/administration & dosage/*therapeutic use; Biofilms/drug effects; Dental Plaque/complications/drug therapy; Dental Scaling; Diabetes Mellitus, Type 2/*complications; Double-Blind Method; Drug Therapy, Combination; Female; Gingiva/drug effects/microbiology; Humans; Male; Metronidazole/administration & dosage/*therapeutic use; Periodontitis/complications/*drug therapy",Clinical
40631715,Evaluation of the periodontal status and systemic diseases in dental patients in Turkey.,2025 May-Jun,Dental and medical problems,Ozcan Bulut S; Ozturkmen Z,Journal Article,Humans; Female; Male; Turkey/epidemiology; Adult; Middle Aged; *Periodontal Diseases/epidemiology; Risk Factors; Aged; Gingivitis/epidemiology; Adolescent; Young Adult; Periodontal Index; Cardiovascular Diseases/epidemiology,Clinical
21059869,FGF-2 stimulates periodontal regeneration: results of a multi-center randomized clinical trial.,2011 Jan,Journal of dental research,Kitamura M; Akamatsu M; Machigashira M; Hara Y; Sakagami R; Hirofuji T; Hamachi T; Maeda K; Yokota M; Kido J; Nagata T; Kurihara H; Takashiba S; Sibutani T; Fukuda M; Noguchi T; Yamazaki K; Yoshie H; Ioroi K; Arai T; Nakagawa T; Ito K; Oda S; Izumi Y; Ogata Y; Yamada S; Shimauchi H; Kunimatsu K; Kawanami M; Fujii T; Furuichi Y; Furuuchi T; Sasano T; Imai E; Omae M; Yamada S; Watanuki M; Murakami S,"Comparative Study; Journal Article; Multicenter Study; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Adult; Alveolar Bone Loss/diagnostic imaging/surgery; Alveolar Process/drug effects; Dental Plaque Index; Double-Blind Method; Female; Fibroblast Growth Factor 2/administration & dosage/*therapeutic use; Follow-Up Studies; Gingiva/pathology; Gingival Hemorrhage/classification; Gingival Recession/classification; Guided Tissue Regeneration, Periodontal/*methods; Humans; Male; Middle Aged; Periodontal Attachment Loss/classification; Periodontal Index; Periodontal Ligament/drug effects; Periodontal Pocket/classification; Periodontitis/*surgery; Placebos; Radiography; Recombinant Proteins; Surgical Flaps; Tooth Mobility/classification; Treatment Outcome",Clinical
28025432,Visfatin levels in gingival crevicular fluid and serum before and after non-surgical treatment for periodontal diseases.,2016,Journal of oral science,Turer CC; Balli U; Guven B; Cetinkaya BO; Keles GC,Comparative Study; Journal Article,Adult; Biomarkers/blood/*metabolism; Female; Gingival Crevicular Fluid/*metabolism; Humans; Male; Middle Aged; Nicotinamide Phosphoribosyltransferase/blood/*metabolism; Periodontal Diseases/*therapy,Clinical
40123306,"Systemic Azithromycin as an Adjunct to Non-Surgical Subgingival Instrumentation in the Treatment of Stage III/IV, Grade C Periodontitis: 12-Month Clinical, Microbiological and Cytokine Results of a Randomised Controlled Trial.",2025 May,Journal of clinical periodontology,Sulugodu Ramachandra S; Woodford V; Han P; Lee RSB; Ivanovski S,"Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't",Humans; *Azithromycin/therapeutic use/administration & dosage; Female; Male; Middle Aged; *Anti-Bacterial Agents/therapeutic use/administration & dosage; Adult; *Cytokines/analysis/metabolism; *Periodontitis/therapy/microbiology/drug therapy; Treatment Outcome; Combined Modality Therapy; Periodontal Index; Dental Scaling/methods,Clinical
27145828,"The efficacy of Er,Cr:YSGG laser supported periodontal therapy on the reduction of peridodontal disease related oral malodor: a randomized clinical study.",2016 May 4,Head & face medicine,Dereci O; Hatipoglu M; Sindel A; Tozoglu S; Ustun K,Comparative Study; Journal Article; Randomized Controlled Trial,"Adult; Double-Blind Method; Female; Follow-Up Studies; Halitosis/etiology/*therapy; Humans; Lasers, Solid-State/*therapeutic use; Male; Middle Aged; Periodontal Index; Periodontitis/complications/diagnosis/*therapy; Reference Values; Risk Assessment; Statistics, Nonparametric; Treatment Outcome",Clinical
27477110,"Treatment of periodontal intrabony defects using autologous platelet-rich fibrin and titanium platelet-rich fibrin: a randomized, clinical, comparative study.",2017 Aug,Journal of investigative and clinical dentistry,Chatterjee A; Pradeep AR; Garg V; Yajamanya S; Ali MM; Priya VS,Comparative Study; Journal Article; Randomized Controlled Trial,Alveolar Bone Loss/etiology/*therapy; Chronic Periodontitis; Humans; India; *Platelet-Rich Fibrin; *Titanium,Clinical
