PMID,Title,Year,Journal,Authors,PublicationTypes,Mesh,Dataset
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,2020 Apr 16,International journal of environmental research and public health,Nardi GM; Ferrara E; Converti I; Cesarano F; Scacco S; Grassi R; Gnoni A; Grassi FR; Rapone B,Journal Article; Systematic Review,Case-Control Studies; Diabetes Mellitus/*pathology; Gingival Crevicular Fluid/metabolism; Humans; Periodontitis/metabolism; Periodontium/*metabolism; Vascular Endothelial Growth Factor A/*metabolism,Review
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,2025 Jun,Evidence-based dentistry,Tattar R; Jackson J; Holliday R,Journal Article; Meta-Analysis; Systematic Review,Humans; *Electronic Nicotine Delivery Systems; *Periodontal Diseases/etiology; Periodontitis; Periodontal Index; Gingivitis,Review
40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,2025 Nov,Journal of dentistry,Valente NA; Pileri C; Floris L; Carrus N; Natto ZS; Clementini M,Journal Article; Meta-Analysis; Systematic Review,"Humans; *Guided Tissue Regeneration, Periodontal/methods; *Alveolar Bone Loss/surgery; *Bone Transplantation/methods; Dental Enamel Proteins/therapeutic use; Treatment Outcome; Randomized Controlled Trials as Topic; Platelet-Rich Fibrin; Intercellular Signaling Peptides and Proteins/therapeutic use; Bone Regeneration/drug effects; *Biological Products/therapeutic use; Combined Modality Therapy",Review
39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,2025 May,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,Sun G,Journal Article; Meta-Analysis; Systematic Review,"Humans; Administration, Topical; *Anti-Bacterial Agents/administration & dosage/therapeutic use; *Anti-Infective Agents/administration & dosage/therapeutic use; Metronidazole/administration & dosage; *Periodontal Diseases/drug therapy/therapy; Randomized Controlled Trials as Topic; Treatment Outcome",Review
27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,2016 Nov,Journal of clinical periodontology,Cairo F; Pagliaro U; Buti J; Baccini M; Graziani F; Tonelli P; Pagavino G; Tonetti MS,Journal Article; Network Meta-Analysis; Systematic Review,"Bayes Theorem; Connective Tissue; Dental Enamel Proteins; Esthetics; *Esthetics, Dental; Gingiva; Gingival Recession; Humans; Treatment Outcome",Review
26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,2016 Jan 1,"Medicina oral, patologia oral y cirugia bucal",Chatzopoulos GS; Doufexi AE; Kalogirou F,Journal Article; Meta-Analysis; Systematic Review,*Genetic Predisposition to Disease; *Genotype; Humans; Periodontal Diseases/*genetics/*therapy; Tooth; Treatment Outcome,Review
34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,2021 Jul 10,BMC oral health,Huang Y; Zhang Z; Zheng Y; Zhao Z; Zhong Y; Zhang Q; Xia D; Ma N; Zhang L,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't","*Arthritis, Rheumatoid/complications/therapy; *Chronic Periodontitis/complications/therapy; Dental Scaling; Humans; Periodontal Attachment Loss/therapy; Periodontal Index; *Periodontitis/complications/therapy; Root Planing",Review
31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,2019 Oct,Medicine,Wang Z; Li Y; Zhou Y; Qiao Y,Journal Article; Meta-Analysis,"Aggressive Periodontitis/ethnology/genetics; Alleles; Asian People/genetics; Case-Control Studies; China; Chronic Periodontitis/ethnology/genetics; Genetic Predisposition to Disease; Genotype; Humans; Interleukin-10/*genetics; Periodontitis/*ethnology/*genetics; Polymorphism, Single Nucleotide; Risk Factors; Smoking/ethnology; White People/genetics",Review
33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,2021 Mar,Journal of clinical periodontology,Li W; Xu J; Zhang R; Li Y; Wang J; Zhang X; Lin L,"Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",*Colorectal Neoplasms/epidemiology/etiology; Humans; *Periodontal Diseases/complications/epidemiology; Risk Factors; Treatment Outcome,Review
41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,2026 Mar-Apr,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Kumar G; Dash P,Journal Article; Meta-Analysis; Review; Systematic Review,Humans; India/epidemiology; *Oral Health; *Vulnerable Populations; *Oral Hygiene; Prevalence; Dental Caries/epidemiology; Periodontal Diseases/epidemiology; *Population Groups,Review
