Dataset,rhetorical_role,mean_local_similarity,mean_similarity_to_opening,mean_own_role_similarity_loo,n_sentences
Clinical,Aim,0.3992054585621438,0.8349508774968294,0.200228481686541,52
Clinical,Background,0.2941115064546465,0.7408467360207291,0.3246588881205146,61
Clinical,Conclusion,0.230546949915776,0.4652153039351105,0.2414676277908716,99
Clinical,Limitation/Future,0.441689411799113,0.4333229959011078,,3
Clinical,Methods,0.2991053345567076,0.3679809001375838,0.3640229548585025,202
Clinical,Results,0.3914065480042817,0.3582829359582083,0.5124303578813642,177
Review,Aim,0.4328025274656035,0.8402160259810361,0.3448029108345508,55
Review,Background,0.3483486195170396,0.7492595475453597,0.3893622650089217,65
Review,Conclusion,0.2717019981917059,0.489373500687642,0.3231477193498554,114
Review,Limitation/Future,0.38009047457017,0.3980505555868149,0.3297611797849337,20
Review,Methods,0.243726216810636,0.2881844671777425,0.3383469964790436,195
Review,Results,0.35841307294432,0.3798918389047513,0.4368761398992832,212
