Metric,Clinical,Review
n_sentences,11.880 ± 2.670,13.220 ± 2.652
mean_label_confidence,0.982 ± 0.007,0.978 ± 0.010
mean_local_similarity,0.330 ± 0.104,0.313 ± 0.085
min_local_similarity,0.033 ± 0.126,0.021 ± 0.072
local_similarity_volatility,0.213 ± 0.065,0.223 ± 0.061
local_discontinuity_burden,0.172 ± 0.070,0.149 ± 0.082
within_role_discontinuity_burden,0.090 ± 0.062,0.079 ± 0.066
mean_similarity_to_opening_anchor,0.466 ± 0.096,0.453 ± 0.092
final_similarity_to_opening_anchor,0.447 ± 0.169,0.514 ± 0.178
mean_similarity_to_own_role_anchor_loo,0.390 ± 0.118,0.376 ± 0.090
within_Methods_similarity,0.262 ± 0.124,0.246 ± 0.117
within_Results_similarity,0.409 ± 0.163,0.306 ± 0.128
conclusion_to_aim_alignment,0.617 ± 0.176,0.631 ± 0.145
conclusion_to_results_alignment,0.513 ± 0.153,0.607 ± 0.140
results_to_methods_alignment,0.556 ± 0.135,0.545 ± 0.122
methods_to_aim_alignment,0.560 ± 0.109,0.476 ± 0.185
results_to_aim_alignment,0.450 ± 0.190,0.540 ± 0.148
conclusion_to_background_plus_aim_alignment,0.599 ± 0.155,0.629 ± 0.145
conclusion_plus_future_to_background_plus_aim_alignment,0.600 ± 0.154,0.637 ± 0.148
