PMID,Title,Dataset,n_sentences,mean_label_confidence,mean_local_similarity,min_local_similarity,local_similarity_volatility,local_discontinuity_burden,within_role_discontinuity_burden,mean_similarity_to_opening_anchor,final_similarity_to_opening_anchor,mean_similarity_to_own_role_anchor_loo,observed_roles,required_roles_present,missing_required_roles,n_Background,within_Background_similarity,n_Aim,within_Aim_similarity,n_Methods,within_Methods_similarity,n_Results,within_Results_similarity,n_Conclusion,within_Conclusion_similarity,n_Limitation/Future,within_Limitation/Future_similarity,conclusion_to_aim_alignment,conclusion_to_results_alignment,results_to_methods_alignment,methods_to_aim_alignment,results_to_aim_alignment,conclusion_to_background_plus_aim_alignment,conclusion_plus_future_to_background_plus_aim_alignment
32316357,Does Diabetes Induce the Vascular Endothelial Growth Factor (VEGF) Expression in Periodontal Tissues? A Systematic Review.,Review,12,0.97,0.2986357852139256,-0.09075628221035,0.3300955512725,0.1666666666666666,0.0833333333333333,0.5432213296492895,0.4252724926918745,0.2902425053444775,Aim; Background; Conclusion; Methods; Results,True,,2,0.6677556037902832,1,,5,0.2688083574175834,2,-0.0434607006609439,2,-0.0643027499318122,0,,0.623849630355835,0.5159451961517334,0.6500505805015564,0.7243898510932922,0.6257463097572327,0.6217482686042786,0.6217482686042786
39948158,The impact of e-cigarette use on periodontal health: a systematic review and meta-analysis.,Review,17,0.9811764705882352,0.2543467448558658,-0.0248483531177043,0.2299747542026248,0.0588235294117647,0.0,0.3663479887387332,0.1928823925554752,0.3867152541875839,Aim; Background; Conclusion; Methods; Results,True,,1,,1,,7,0.1305922636141379,5,0.4965560510754585,3,0.2132483820120493,0,,0.4585414230823517,0.7517340183258057,0.3351690173149109,0.3912373781204223,0.4860665798187256,0.534804105758667,0.534804105758667
40897233,Clinical outcomes of periodontal regeneration using biologic agents alone or in combination with graft materials for intrabony defects: A systematic review and meta-analysis.,Review,14,0.9814285714285716,0.2713749527644652,-0.0055460277944803,0.1624683577050855,0.2142857142857142,0.1428571428571428,0.3673074868108545,0.4185573309659958,0.3154331408441067,Aim; Conclusion; Methods; Results,True,,0,,2,-0.0055460277944803,4,0.2878433962663014,5,0.2606164820492267,3,0.2074632328003645,0,,0.5879712700843811,0.6423207521438599,0.5907778143882751,0.538122832775116,0.3290178179740906,0.5879712700843811,0.5879712700843811
39248301,The impact of systemic and topical antimicrobial therapy combined with non-surgical periodontal therapy: A meta-analysis.,Review,13,0.9846153846153848,0.2035869157407432,-0.0404628217220306,0.2587546164261293,0.0,0.0,0.441738846210333,0.4858090579509735,0.2678729086183011,Aim; Background; Conclusion; Methods; Results,True,,1,,2,0.0148042980581521,3,0.1328439762194951,4,0.3125636180241902,3,0.2012362504998842,0,,0.5504940748214722,0.7864197492599487,0.3651986122131347,0.5633406043052673,0.3965510725975036,0.5810703039169312,0.5810703039169312
27454460,Root coverage procedures improve patient aesthetics. A systematic review and Bayesian network meta-analysis.,Review,8,0.98375,0.2324978624071393,0.0683775544166565,0.1033785616408591,0.25,0.125,0.4338531442917883,0.3787318188697099,0.2477105728217533,Aim; Conclusion; Methods; Results,True,,0,,1,,2,0.3733854293823242,3,0.2208860417207082,2,0.0683775544166565,0,,0.5181844234466553,0.611432671546936,0.5704865455627441,0.524135172367096,0.4061528444290161,0.5181844234466553,0.5181844234466553
26595831,Association of susceptible genotypes to periodontal disease with the clinical outcome and tooth survival after non-surgical periodontal therapy: A systematic review and meta-analysis.,Review,16,0.985,0.2240954069420695,-0.0083545185625553,0.188776086156861,0.125,0.0,0.3289827232947573,0.3657200783491134,0.307839535176754,Aim; Background; Conclusion; Limitation/Future; Methods; Results,True,,1,,1,,6,0.173206723605593,6,0.1832442626357078,1,,1,,0.5296947956085205,0.4446271657943725,0.5258718729019165,0.1832576543092727,0.5985637903213501,0.5533971786499023,0.5135166049003601
34246253,Effects of non-surgical periodontal therapy on periodontal clinical data in periodontitis patients with rheumatoid arthritis: a meta-analysis.,Review,19,0.9778947368421052,0.3574722496171792,0.0551500916481018,0.2164606932488529,0.2105263157894736,0.1578947368421052,0.4061078719402614,0.4915710240602493,0.4445424824953079,Aim; Background; Conclusion; Limitation/Future; Methods; Results,True,,1,,1,,7,0.2941298044863201,5,0.3450590103864669,4,0.2550326933463414,1,,0.6511765122413635,0.6567317247390747,0.6224100589752197,0.4494685232639313,0.5105292797088623,0.67817223072052,0.6295172572135925
31577700,Association between the IL-10 rs1800872 polymorphisms and periodontitis susceptibility: A meta-analysis.,Review,12,0.9825,0.2890418994833122,0.0361088626086711,0.2096586824645718,0.1666666666666666,0.1666666666666666,0.5058516748249531,0.6161329001188278,0.3196193650364876,Aim; Background; Conclusion; Methods; Results,True,,2,0.5891667604446411,1,,3,0.0392035283148288,4,0.217535350471735,2,0.4381832480430603,0,,0.2427747249603271,0.6467143297195435,0.5526773929595947,0.3786304295063019,0.3659515082836151,0.7265780568122864,0.7265780568122864
33179280,Is periodontal disease a risk indicator for colorectal cancer? A systematic review and meta-analysis.,Review,12,0.9783333333333334,0.247458815574646,0.1011963784694671,0.1856220736898615,0.0,0.0,0.5176189709454775,0.6098521649837494,0.2920660823583603,Aim; Background; Conclusion; Methods; Results,True,,2,0.1418047845363617,1,,2,0.2497444599866867,3,0.1624026745557785,4,0.3164638852079709,0,,0.784104585647583,0.6308650970458984,0.6292524337768555,0.6393481492996216,0.5668656826019287,0.7083697319030762,0.7083697319030762
41810713,Oral Health and Oral Hygiene Status Among the Particularly Vulnerable Tribal Groups (PVTGs) of India: A Systematic Review and Meta-Analysis.,Review,17,0.9794117647058824,0.3095144927501678,0.0305550247430801,0.1634352409047079,0.1764705882352941,0.0588235294117647,0.4597772977807942,0.3631474040448665,0.4063107622787356,Aim; Background; Conclusion; Methods; Results,True,,2,0.3882993161678314,1,,6,0.2490420147776603,6,0.2406929954886436,2,0.5032411813735962,0,,0.7482279539108276,0.5685377717018127,0.5690670013427734,0.4087378084659576,0.6183559894561768,0.8103243112564087,0.8103243112564087
